index,Symbol,Date,Adj Close,Close,High,Low,Open,Vol,ema13_close,ema20_close,ema48_close,diff_close,ppchange_close_1320,ppchange_close_1348,ema13_vol,ema20_vol,ema48_vol,diff_vol_13_20,diff_vol_13_48,ppchange_vol_13_20,ppchange_vol_13_48,Data_lagged,flag,total_converge1320,l14dconverge1320,date2,slope_13,slope_21,slope_5,slope13_normal,slope21_normal,slope5_normal,vol_13v20,vol_13v48,slope13,slope5,slope21,ema13v21,closevopen,closevema,Total_Score
22199,NEM,2022-03-04,74.27999877929688,74.27999877929688,74.66999816894531,70.63999938964844,70.81999969482422,12752344.0,68.3043991581901,66.82179266790172,64.3480040552343,1.4826064902883758,0.02218746955288675,0.06148434844318951,10.26335157045524,9.624067187059952,8.651340170077072,0.6392843833952888,1.6120114003781687,0.06642559439473139,0.18633083067912803,0.01867159609513802,0,1,0,2022-03-04,0.4960204221764389,0.3633158739253757,2.2449989318847656,0.006677711770704665,0.004891166934518557,0.030223464846239143,1,1,1,1,1,1,1,1,8
31447,UNP,2022-03-04,264.6300048828125,264.6300048828125,264.7900085449219,253.6300048828125,254.67999267578125,5926221.0,250.20179104851405,248.6931814403328,247.231099452832,1.5086096081812457,0.0060661478511150335,0.012015849147848812,4.150785408221412,3.821106750100968,3.433959174318762,0.3296786581204443,0.7168262339026503,0.08627831664523189,0.20874628890859093,0.0028337130612037242,0,4,2,2022-03-04,1.416611978959064,0.29185296478694184,6.1300048828125,0.005353179733289843,0.0011028717809841125,0.02316443626839323,1,1,1,1,1,1,1,1,8
18323,LDOS,2022-03-04,107.70999908447266,107.70999908447266,107.7699966430664,104.51000213623047,105.0999984741211,1431944.0,98.8032469830393,96.21045734384091,93.21788148283036,2.5927896391983865,0.026949145766266946,0.059917318559076005,1.5940170274619512,1.5028445758769038,1.3068828158736734,0.09117245158504739,0.2871342115882778,0.06066658724961527,0.21970922572451435,0.023776689738346235,0,3,1,2022-03-04,1.6914996633724289,1.1324598085186823,1.8349990844726562,0.015704202745799423,0.010513971016103522,0.017036478507752466,1,1,1,1,1,1,1,1,8
8055,CTRA,2022-03-04,26.110000610351562,26.110000610351562,26.315500259399414,25.03339958190918,25.059999465942383,11665224.0,24.036111430288827,23.483552600110663,22.533543747500293,0.5525588301781639,0.023529609833205622,0.06668137509242045,11.351775972740029,10.49400262570506,9.41581296608428,0.8577733470349695,1.935963006655749,0.08173938749870846,0.20560763193035791,0.020240229416785382,0,3,0,2022-03-04,0.36645931516374863,0.14989473865963424,0.22000026702880857,0.014035208984961198,0.005740893724843768,0.008425900493529186,1,1,1,1,1,1,1,1,8
18187,KR,2022-03-04,58.939998626708984,58.939998626708984,58.97990036010742,54.21440124511719,54.279998779296875,21604851.0,49.27197482880379,48.01472772461314,46.78406050655741,1.2572471041906539,0.026184613841851778,0.05317867443117019,12.161837019330234,10.371022390000942,8.862059563764781,1.790814629329292,3.2997774555654527,0.17267483975889175,0.37234882386229873,0.01577627832619921,0,2,1,2022-03-04,1.1788978420958225,0.47360105012592546,4.784999847412109,0.020001660494806974,0.008035308129635934,0.0811842544774638,1,1,1,1,1,1,1,1,8
7851,CSX,2022-03-04,37.43000030517578,37.43000030517578,37.474998474121094,34.91999816894531,35.040000915527344,30152574.0,34.758478480037674,34.675722266355,34.927249907790056,0.08275621368267139,0.002386575052337525,-0.004832084638726197,17.88896023407503,16.722812653887463,15.414476060498117,1.166147580187566,2.4744841735769114,0.06973393796386751,0.16052989176311638,-0.0025180126244209733,1,3,1,2022-03-04,0.22087749559052136,0.03526050324585301,1.4099998474121094,0.0059010818538512986,0.0009420385508513401,0.03767031354304146,1,1,1,1,1,1,1,1,8
13427,GD,2022-03-04,245.2899932861328,245.2899932861328,245.5500030517578,235.05999755859375,236.10000610351562,3317398.0,228.2415856168344,223.64110335746693,217.1203667570369,4.600482259367482,0.020570826159867828,0.051221444703261954,2.1560099652583244,1.9186506353023096,1.6000045866044275,0.23735932995601483,0.556005378653897,0.12371159479933969,0.34750236549875546,0.01773371751103392,0,1,0,2022-03-04,2.727224077497209,1.698240889868909,4.769996643066406,0.011118366636000025,0.006923400612954875,0.019446356450025116,1,1,1,1,1,1,1,1,8
17983,KMI,2022-03-04,18.84000015258789,18.84000015258789,18.8700008392334,18.260000228881836,18.299999237060547,26286688.0,17.619532693015653,17.450598611845887,17.192130808093566,0.16893408116976616,0.009680704079405578,0.02486032067187849,20.69457117240109,19.698009409989748,18.544168860275846,0.9965617624113428,2.1504023121252445,0.05059200357097704,0.1159611049881939,0.0060475035822045164,0,3,1,2022-03-04,0.2143468506482183,0.08071188358719003,0.35000038146972656,0.011377221279840345,0.00428407021939983,0.01857751478954473,1,1,1,1,1,1,1,1,8
7375,COP,2022-03-04,100.2699966430664,100.2699966430664,100.33999633789062,97.4800033569336,97.61000061035156,10980735.0,94.12715501853093,92.41865048363255,88.4687387110756,1.7085045348983812,0.018486577394905446,0.06395950015671392,10.86808594499196,10.257785799595526,9.39710788049343,0.6103001453964332,1.4709780644985297,0.059496284804513744,0.15653518967809177,0.016054665793962197,0,2,0,2022-03-04,1.30837730096311,0.49163705080830183,1.1149978637695312,0.013048542383227288,0.004903132215695533,0.011119955132128077,1,1,1,1,1,1,1,1,8
28523,SRE,2022-03-04,151.9199981689453,151.9199981689453,151.99000549316406,148.75,149.0800018310547,1882673.0,142.7689815810632,140.58823031492,137.46471599128702,2.1807512661432042,0.015511620434073947,0.03858637870471715,1.999419472705134,1.8740252608108428,1.7549393260406683,0.12539421189429123,0.24448014666446571,0.06691169778577932,0.13930974309866273,0.012840311524241255,0,2,1,2022-03-04,1.8124083071338886,0.9055483324045625,1.7750015258789062,0.011930017963259636,0.005960692096622667,0.011683791122120634,1,1,1,1,1,1,1,1,8
